userName,score,at,content
Chiya Archelia Floure,3,2024-10-04 01:45:24,"Banyak yg suka ghosting, HRD nya juga banyak yg g buka chat lamaran sampai lowongan kerja ditutup"
Ssr Antapani,5,2024-10-04 00:52:18,semoga ada rezeki ku kak
Eka Mutia,1,2024-10-03 22:36:43,Ini kenapa eror lg sih masa panggilanya penolakan itu pun jm 2 mlam pula sedangkan perusahaan gk mungkin merekrur jm 2 mlam tolong di perbaiki lg ya
dinii,5,2024-10-03 14:22:52,Bagus
faisal amri,4,2024-10-03 11:47:10,Apa kurang minat menerima pekerja ya🤔
Kang Indra (Iyek),5,2024-10-03 10:29:57,mantap
Shin Chan,4,2024-10-03 06:50:22,ku kasih *4 dulu krna baru coba. tapi semoga ada hal baik kedepannya.
Basuki Wibowo,5,2024-10-03 06:34:37,"Aplikasi yg Sangat Bagus, semoga dapat membantu semua orang yg sangat membutuhkan pekerjaan"
Gobriz chanel,5,2024-10-03 05:35:51,top
Azwar Anas,5,2024-10-03 05:12:21,menyala
Paulus Johanes,5,2024-10-03 02:32:47,semoga bisa keterima kerja dari aplikasi ini
Cecep purba,5,2024-10-03 02:14:26,bagus
Muhamadabdul Rohim,5,2024-10-03 02:07:18,Bagus
Budi Marwanto (banTo),5,2024-10-03 01:59:08,ok bgt
Hotbiner Saragi,5,2024-10-02 22:15:57,mantap
MRA Sijuris,5,2024-10-02 12:39:32,Mantap aplikasinya
jul jul,5,2024-10-02 09:56:46,good
Vesty Salafiyah,5,2024-10-02 09:21:09,so far so good
Rizqi Ibra,1,2024-10-02 09:05:20,Minta update terus
Effendi Canon,5,2024-10-02 07:37:59,bagus
Sabel Mayka,1,2024-10-02 06:02:46,Glitch ✔
LEOPARD,5,2024-10-02 05:35:53,Good
Andika J. Santika,5,2024-10-02 03:51:23,Bagus
Republik Indie,4,2024-10-02 02:01:44,sementara dulu ratingnya segini
Yuda Azriel Friansyah,5,2024-10-02 02:00:11,Bagus untuk memudahkan orang orang mencari pekerjaan
makis biologi,5,2024-10-02 01:17:20,langsug tembus terus tabarakalloh glint
Nurkholifah Salsabilla rahmadaniah,4,2024-10-02 00:39:25,"bagus sangat terbantu, terimakasih"
Agus Alim,5,2024-10-01 17:21:12,sangat membantu
wahyu ningsih,5,2024-10-01 12:54:54,aplikasi yg bagus untuk jobseeker
Eril Obeit Choiri,5,2024-10-01 12:47:18,sip lengkap
"Fahrezi,ichsan Syah",5,2024-10-01 12:46:33,sangat baik
heru saputra,5,2024-10-01 12:44:08,oke
Wina Putri Legiani,5,2024-10-01 12:20:27,"Mudah banget menggunakan nya, bisa langsung chat ke HRD nya"
Agielfauzi Galih,5,2024-10-01 06:29:32,Ok
ilyas panji,1,2024-10-01 04:37:37,Ribet masukin lamaran dari web tapi HARUS buka pesan dari HR lewat APLIKASI ga membantu sama sekali maksa banget harus buka aplikasi
Wuri Damajanti,5,2024-10-01 04:28:45,good apk
Arnold Parulian Sipangkar,1,2024-10-01 03:31:10,"Banyak ketidak sesuaian antara jobdesk yang disertakan diaplikasi dan yang disampaikan HR saat interview. Mohon lebih dijaga integritas nya, seakan akan becandaan saja lowongan yang dipost. Terimakasih"
Rizky Budi Nugroho,4,2024-09-30 22:47:11,"Kak boleh saran dong, di keterangan lowongannya dikasih jam operasional kerjanya seperti di platform sebelah dan untuk di PC sediakan kotak masuk seperti di Handphone ya biar bisa fleksibel bukanya Terima Kasih"
Budi Riyanto,5,2024-09-30 18:16:44,"Terima kasih banyak untuk Aplikasi Glints, sangat membantu untuk para pencari kerja..."
Saepudin,5,2024-09-30 17:23:20,baru mencoba
Aumanserigalaaa Militia,2,2024-09-30 15:12:20,"Lamaran dengan bayaran kecil semua, udah gitu susah dapetnya"
Agan Java,4,2024-09-30 12:14:31,sangag membantu seseorg yg lagi cari loker
Rizky Yulianto,5,2024-09-30 10:52:38,Thx glintts Alhamdulilah sudah dapet pekerjaan dari apk glints
Anwar Flores,3,2024-09-30 10:20:57,bgus
Agus Hadi purnomo,4,2024-09-30 09:18:31,imfomasi krng akurat
Mahendra Saputra,5,2024-09-30 09:06:25,do'a in saya dapat kerjaa🙏
Sumantri Gun,4,2024-09-30 06:19:40,bagus
Hendra Agus,5,2024-09-29 11:54:48,baik
Syifa Amelia Suhandi,5,2024-09-29 08:42:21,aplikasi ini sangat penting bagi orang yg lgi membutuhkan pekerjaan
Juan Ismail,5,2024-09-29 05:58:31,"Keren walaupun banyak penolakan di bidang skill,, tapi kurang dari seminggu gw dapet tawaran dmna mana barista,,sabar dikit wirr rezeki gak kemana"
Fahmi project,3,2024-09-29 02:54:03,bagus
Basyar Amin,5,2024-09-29 01:53:49,mantap
Aulia Megaputri,5,2024-09-28 23:17:48,Mantap
Spoo Kyy,5,2024-09-28 23:17:45,sangat membantu
Sinta Nl,5,2024-09-28 14:01:32,Kerennnn bangett alhamdulillahhhhhh aq dapet kerjaaan dari siniii semoga semakin maju ya aplikasinya
Fimaati Laia,3,2024-09-28 12:11:09,bagus
fika fauziyah,5,2024-09-28 07:09:53,up to date dan mudah cara melamarnya
Agus Setiawan,5,2024-09-28 06:30:34,mantap
Ramdani,5,2024-09-28 05:53:44,Ok
Ary Markonah,1,2024-09-28 05:40:08,"Aplikasi gak jelas. Hanya iming iming kerjaan tok,tapu gak ada kenyataanya. Buktinya sampe sekarang sy gak dpt kerjaan daftar lewat glint. Kamaran hanya diterima hrd doank gak ada follow up nya sama sekali"
Apandi Yose,5,2024-09-28 05:22:49,lebih mudah dan saya berharap segera mendapatkan pekerjaan
Andi Mulyono,5,2024-09-28 03:55:09,"Bagus, sangat membantu dalam mencari pekerjaan"
Putri Febriyani,5,2024-09-28 02:52:11,bagus
Jajat Doang,5,2024-09-27 21:55:04,good
Tarbih,1,2024-09-27 10:52:07,Tolong developer di setiap info perusahaan tolong wajib mengisi berapah kisaran gaji yang di terima pekerjaannya.. Biar kami tau itu harus wajib di isi oleh pihak HRD
Just Ifa,5,2024-09-27 09:14:54,semoga dgn apk ini saya dpt pekerjaan yang menjanjikan
Riyan Sesato,5,2024-09-27 05:15:27,makasih
mahfudz izzuddin,3,2024-09-27 04:12:09,sangat membantu
Moeljadi Setijawan,5,2024-09-27 03:54:53,sangat membantu pencari kerja
JAVARIGIN Indonesia,5,2024-09-27 02:47:24,"joss, good job"
Herry Herry,5,2024-09-27 01:48:27,Sangat cocok
buddy mulya,5,2024-09-27 01:20:34,mantap join seminggu langsung dapet kerja . alhamdulilaah
Adelia Susanto,5,2024-09-27 00:52:44,"Alhamdulillah saya cepat dapat pekerjaan,dan selalu di respon oleh HRD"
Puja Restu,4,2024-09-26 12:32:39,cukup baik
Tiko Kristianto,1,2024-09-26 10:38:11,"Hati² banyak mafia menawarkan pekerjaan disini, ujung²nya dimintain duit. Cari kerja mnding langsung ke dinas tenaga kerja sj. Kbanyakan kalo lwt aplikasi atau internet bohong smua. Kalo sipembuat aplikasi sngt bagus, sngt mmbantu utk referensi"
Red Queen,5,2024-09-26 08:57:48,"bagusss, app minim scammer, pemberitahuan lamaran diacc/tidak lebih jelas, sudah beberapa kali dapet panggilan interview dari sini juga. thank u glints"
Yohana Siburian1294,4,2024-09-26 07:04:04,capable to seek for a job.
gidion giovanri,5,2024-09-26 07:01:09,baik
Dany Heryanto,4,2024-09-26 06:55:35,baik
Victor,5,2024-09-26 06:54:46,bagus
Rafi,5,2024-09-26 06:38:30,mantap
meiwan taufiq,5,2024-09-26 02:52:36,baik
Edi yamato,5,2024-09-26 02:17:47,"sunggu membantu, terima kasih"
Taufiq Hadianto,5,2024-09-26 00:22:02,sangat membantu
Andi Sugito,5,2024-09-25 15:44:23,Bagus
Albert Perdana,5,2024-09-25 14:49:07,sangat baik
Andi Lesmana,5,2024-09-25 12:43:33,bagus
Kasta Kasta,5,2024-09-25 11:42:51,sangat membantu
Feri Satria,5,2024-09-25 11:30:16,Fast respon
Ibnu Hobir,5,2024-09-25 09:49:45,jos
Imanuel Christian,5,2024-09-25 08:55:58,Simple and Easy use
Wahyu Arief,5,2024-09-25 07:23:10,mudah
Muhammad Restu Ardian,5,2024-09-25 06:25:11,bagus
Nur Amri Soleh,5,2024-09-25 05:33:06,"Halo, mau tanya dong, klo ada info sedang komunikasi itu kita harus chat HRD nya apa kita tunggu chat dari pihak perusahaan?"
Yuni Yuliyanti,5,2024-09-25 05:15:01,makasih
RAP D,4,2024-09-25 02:59:40,"ya tuhan, sudah 550 lowongan pekerjaan saya apply, masih belum ada juga yang menerima"
rizwar rijali,5,2024-09-24 19:13:40,beneran penghasil cuam
Bang Misju1928,5,2024-09-24 17:54:55,bagus aplikasi baru nyoba
Moch Kurdi,5,2024-09-24 16:51:44,Bagus untuk mencari lowongan kerja
Roby agues,1,2024-09-24 12:42:11,"Gak jelas minta isi instiusi gak jelas ,"
Handoko Tujuh Bintang,5,2024-09-24 12:30:02,good
Andi Andu,1,2024-09-24 09:51:48,Pernah bekerja pengalaman cleaning service bersih2.dan resepsionis di hotel. Habis kontrak kerja.
Kaka Rury,1,2024-09-24 09:25:11,Gak bisa di download pake wifi
rosyta Ardaning,5,2024-09-24 07:43:24,Semoga ALLOH mudahkan ikhtiar melalui aplikasi Glints
Rifai Badruladkha,5,2024-09-24 07:19:26,aplikasi yg menghubungkan pencari kerja dg HRD langsung.
Agus Ismail,4,2024-09-24 06:57:34,bagus tapi belum menemukan pekerjaan
Ahmad Qo'id asyari,5,2024-09-24 06:23:42,ol
Ramli Baok,5,2024-09-24 05:05:06,sangat membantu
Junior Juniviandi,5,2024-09-24 04:30:23,sangat membantu dalam mencari informasi pekerjaan
Rifqi Subagja,5,2024-09-23 17:36:33,"aplikasi nya sangat mudah di gunakan, semoga ke depan nya semakin baik 👍"
Aduun Aduu,5,2024-09-23 11:58:16,"apk ini sangat membantu ,bagi saya"
Aweng Dua,5,2024-09-23 11:53:34,sangat membantu
juniati Juni,5,2024-09-23 11:19:55,saya sangat puas
Dedy Wijaya,5,2024-09-23 09:33:03,Saya suka aplikasi ini tolong untuk bagian sales konsultan di loker glint nya di perbanyak karena bidang saya di situ trims
Edi Junaedi,1,2024-09-23 06:18:59,Cari info loker operator alat berat aja ga ada
Erwin Abu Bakar Sidik,1,2024-09-23 04:57:26,Setelah update gabisa login google
Rohani Yuliana,2,2024-09-23 02:53:17,"Kenapa ga bisa masukin lewat google ya? Eror kah? Tolong perbaiki lagi Saya jadi ga bisa cari kerjaan kalo ga bisa masuk akun saya, lewat email juga ga bisa, tolong dong pihak glints kerja sama nya"
Muhammad Nur Ariful Yahya,1,2024-09-23 01:43:34,tidak bisa login/daftar
Husain Rahmat,1,2024-09-23 00:30:59,Gak bisa login
Bagus Muhammad Wijaksono,1,2024-09-22 18:06:57,Bug auth menggunakan google stuck di setiap device samsung
Robin Nur Hidayatullah,1,2024-09-22 17:01:23,"aplikasi stuck di login, gabisa masuk padahal udah pilih gmail tetep stuck. udah re-install tetep aja stuck, udah hapus data tetap gabisa. perbaiki!!!"
Yohana Indah,5,2024-09-22 13:25:16,terimakasih banyak ya membantu
Sofyan Alvian,1,2024-09-22 11:55:35,Setelah update tdk bisa login via google
Badriyah Hanif,5,2024-09-22 11:15:18,gooood
Nyanyan Miki,2,2024-09-22 10:01:21,Aplikasinya bug kah? Gak bisa login dari tadi
masyitah Mawaddah,5,2024-09-22 03:52:43,aplikasi yang sangat bagus dan pas bgt buat yang mau nge lamarkerja online Kya gini uhy bintang 5 deh buat apk ini
Nurjannah,1,2024-09-22 01:21:05,good
M. iqbal izzul haq,5,2024-09-21 18:52:22,Sangat Baik aplikasinya terimakasih doakan semoga cepat ada panggilan
Eva Putri,5,2024-09-21 18:00:27,"Tolong di cek ada apa dengan glints, saya tidak bisa membuka isi semua di dalam glin, sangat penting karena sedang dalam panggilan interview"
Firda Nurmanda,1,2024-09-21 14:53:39,"Hallo, saya ingin login menggunakan google email. Tapi gagal terus, saya harap ada perbaikan dalam ini. Padahal Email saya sudah terdaftar di Glints melalui website glints"
Petrus Danang Widjanarko,1,2024-09-21 13:17:53,"Baru download dicoba masuk pake akun google malah ga kebu ka, ya di uninstal ngrepotin dari dulu ga ada kemauan berubah ya terserah lah apa maumu"
kohar kkb,5,2024-09-21 12:14:43,sangat terbantu dengan glints
Suparman edo,5,2024-09-21 11:46:14,informasi yang menarik dan membantu
Dedi Idoy,4,2024-09-21 09:21:20,Maaf saya kasih 4 dulu klu benar saya kasih 5
inez putri,5,2024-09-21 06:53:37,bagus
RASPATI,2,2024-09-21 04:17:30,Gak ada yang bales sama sekali sama HRD nya juga wkwk
Bambangsuteja 628,5,2024-09-21 04:08:40,Saya siap kerja dengan bapak /ibu kerja apa aja
Dadang Darmawan,5,2024-09-20 22:35:04,"saya sangat senang sekali dengan adanya ad plikasi Glints membantu kami tuk mencari pekerjaan,mksh"
fiul fiul,5,2024-09-20 13:38:30,belum dapat hasil.dari APK ini.
Dwita Rahmawati,5,2024-09-20 12:13:53,"Aplikasinya baguss , tapi kayaknya dikasih notif pas hrd ngechat jadi lebih bagus deh min . Soalnya setiap hrd ngechat gak ada notif masuk jadi takut kelewat lamarannya"
Ayunda Karunia agustin,5,2024-09-20 11:21:56,cocok untuk yg ke susahan cari kerja dan juga bisa kerja sambil tiduran dan di mana saja pokon nya apk ini cocok banget buat yg lg cari kerjaan👍
Yusuf Imam,2,2024-09-20 11:01:49,Setiap aply lamaran sesalu bilang skil tidak sesuai Cv slalu d update Sedangkn taruh lamaran d apk lain sllu d panggl interviu hnya d apk ini cv sllu d tolak dan bilang tidak sesuai Jdi hps apk saja
Devi Damayanti,3,2024-09-20 10:58:33,lumayan
Nasril Koto,2,2024-09-20 09:54:08,Bgs bsa loker sesuai skill
Rifki Maulana Putra,4,2024-09-20 09:03:36,Bagus dan sangat membantu
angelia Vivi,5,2024-09-20 06:41:23,"Sangat membantu ,apk nya sngat bagus.trima kasih yg sudah buat apk ini."
Firanda_ Rossela,3,2024-09-20 05:24:09,Dari pengalaman menggunakan glints respon dari perusahaan sangat lama. Atau memang sistemnya lama seperti itu?. Bahkan banyak yg tdk merespon.
Adi Purwanto,4,2024-09-20 03:10:13,baikk
Paksi Aditiya,5,2024-09-20 01:10:23,great apps
Dhega Dhega,3,2024-09-20 00:40:35,Untuk data pengguna harus di tingkat lagi keamanannya karna ada yang mau mencoba masuk ke data seseorang
Febri Maulana Amin,5,2024-09-19 17:28:38,keren
KANG GANDA GANDA,5,2024-09-19 16:57:25,IS THE BEST
Yunia 999,5,2024-09-19 15:54:54,saya kurang mengerti
Zaskia Sakina Roz,5,2024-09-19 14:17:44,"aplikasi sangat mudah dipahami, bahkan untuk melamar pekerjaan mudah dilakukan, terimakasih saya suka dengan aplikasinya"
Tri lek,5,2024-09-19 14:17:01,Langsung bintang lima!!! Siapa tau dapat pekerjaan di sini
Gilang R,5,2024-09-19 08:37:49,oke
Dede Rusmana,4,2024-09-19 07:12:18,Oke
Asyifa Arnanda Mustika,1,2024-09-19 06:15:29,"Ini cara login nya gimana ga bisa"" masuk perasaan"
Mr. L,5,2024-09-19 04:15:12,Terimakasih glint
Imam Buchori,5,2024-09-19 03:17:49,"sangat membantu para pencari kerja, smoga jadi amal sholeh buat yang berkontribusi di aplikasi ini. sukses selalu"
Rangga Prawira,5,2024-09-19 00:21:32,bagus
Rahman Sidik,5,2024-09-18 23:26:58,sangat memuaskan
Illustrations By Ra,5,2024-09-18 18:15:01,"Respon dr HRD lebih cepat di aplikasi Glints ini, dr pd apk lain"
Wanda Mutaqin,1,2024-09-18 16:56:28,Tidak bisa hapus akun
rafibayu samudra,1,2024-09-18 05:57:14,kebanyakan penipu lowongan
DAFID SAPUTRA,5,2024-09-18 05:11:31,sangat bagus
AA RP,5,2024-09-18 05:04:58,sejauh ini informasi lokernya bervariasi dan sangat bermanfaat
Endang Kurnia,3,2024-09-18 04:40:30,sangat membantu
Dedi Sujana,5,2024-09-18 00:51:59,sangat membantu
Zaka Ria,4,2024-09-17 23:33:55,lumayan bagus up to date
Rikardo Pratama,5,2024-09-17 19:36:58,Alhamdulillah
Resky Arief Fachreza,5,2024-09-17 17:30:23,"Sangat mudah, bisa berkomunikasi dengan HRDnya."
Francesca zycko,5,2024-09-17 15:30:47,good
Erwin Syahbana,5,2024-09-17 11:27:11,mantaff bro
Muhamad Dion,5,2024-09-17 09:03:15,semoga saja bermanfaat aplikasi ini betul ² bermanfaat
Bobic Anic,1,2024-09-17 08:34:37,Gaje
Silvia Oktavianni,2,2024-09-17 07:43:14,"Sebenarnya aplikasi glint Bagus untuk apply2 loker, bisa chat HRD dan banyak yg update.. tetapi kenapa klo HRD di glints itu pada sombong 😭 kebanyakan online tp ga pada balasss!?;?!!?!? Udah sesuai kualifikasi tp masih ditolak???? HRD nya bener2 nyari yg sempurna bgt apa yaaa?!?!?!? Mending Gausah diadain fitur chat dgn HRD klo hasilnya sama aja😥"
Rasiwan Iwan,4,2024-09-17 07:20:33,sangat membantu informasi
Alveo Tetra,1,2024-09-17 02:50:37,Aplikasi sampah
Rusti Dayem,4,2024-09-17 02:14:48,sayang saya ga punya ijazah bagus aplikasinya
manusia jerami,1,2024-09-16 23:33:05,"Apk tolol ga guna ,.... pencarian aja ga sesuai range yg dipilih !!! Bapukkkkk apk nya !"
Bintak,5,2024-09-16 17:40:39,good
Erick Prasetyo Adi Asmoro,5,2024-09-16 17:15:40,sangat menguntungkan
Mitra alam Persada,4,2024-09-16 15:07:09,mantap bintang 4 dulu ya
Syahrul Lail,4,2024-09-16 14:48:57,oke
andes Pebriansay,5,2024-09-16 14:47:01,saya buntu perkejaan
Maria Nesta,5,2024-09-16 14:24:45,bagus untuk mencari pekerjaan
Ji ̧Tae,3,2024-09-16 12:43:43,"masih di coba. tapi nanti kalau udah berhasil keterima & dapat hasilnya, bakal saya ubah bintangnya ☺ semoga aplikasi ini bermanfaat."
Asy'ar Maulana,5,2024-09-16 11:53:33,sangat membantu
Duex Dwi,5,2024-09-16 06:02:38,sangat membantu
Julius Versi 11,1,2024-09-16 04:26:25,"1 bintang dulu, karna belum tau Hasilnya"
LAILI FITRIYADI,5,2024-09-16 01:45:33,opsi untuk mencari pekerjaan
Haidar Syafii,5,2024-09-16 01:43:10,mantap
Kaman Cpym,5,2024-09-15 20:46:25,sangat membantu untuk melamar kerja
Misna Lach,4,2024-09-15 19:52:55,bagus sekali
Edwar Annas Darma Putra,5,2024-09-15 16:14:53,oke
Aris Sukma wardana,5,2024-09-15 16:09:33,Sangat membantu sekali untuk yang sedang membutuhkan pekerjaan. adapun ini aplikasi jelas glints tetap memberikan informasi yang akurat kompetable dan juga komprehensif. tetap dengan mekanisme yang dilakukan. kapasitas membantu semua pihak..tks..namun masih ada kurang nya dalam Diskusi internal HRD. Di tentukan di terima atau tidak nya lamaran pekerjaan ini..semoga menjadikan prioritas untuk kalangan pelamar kerja pada umumnya.
Rizky Putra,5,2024-09-15 13:35:17,ok
Endra Saputra,5,2024-09-15 12:10:28,keren
Dicky Drop,5,2024-09-15 07:58:08,ok bgt
Febri Stiawan,5,2024-09-15 06:42:58,👌oke
Achadi Achmad,5,2024-09-15 03:56:16,Saya dapat bekerja di perusahaan yg sekarang dari Glints
Rohaeni Hasan,5,2024-09-15 02:27:25,"hii ka, aku mau minta tolong untuk lebih aware lagi sama perusahan mana yang real keberadaannya dan mana yang fake. difilter dengan baik, buat standarisasi yang bagus, biar ngga semua orang bebas buka lowongan yang padahal isinya scam. kontak kita sebagai jobseeker malah jadi sasaran penipuan. TOLONG JADI PLATFORM YANG BISA MEMBERI RUANG AMAN 🤎"
Dhino Qila,5,2024-09-14 22:54:54,sangat membantu
Dewi Andreani,5,2024-09-14 14:47:59,ok
Richierich Flowerhorn,5,2024-09-14 10:28:59,Lowongan kerja nya banyak
satan Byme,3,2024-09-14 10:24:10,Error di halaman chat Sudah seharian ini
Gibrani Bahari Silalahi,5,2024-09-14 09:16:56,"Aplikasi ini sangat cocok untuk para pencari kerja seperti saya,mudah sekali mendapatkan loker loker terbaru di sini"
Hendra Permadi,5,2024-09-14 06:47:32,Sangat membantu sekali untuk yang mencari kerjaan harus instal aplikasi ini
Amanda Putri,1,2024-09-14 05:40:07,Not
Fajar Subekti,4,2024-09-14 04:36:11,bagus
Arina Azzahra,5,2024-09-14 04:06:23,Sangat membantu
ALDI ANSYAH 02,5,2024-09-14 02:14:27,good
natasya ritzhani,5,2024-09-14 01:32:43,goood
Jaidiansyah alfatih46,4,2024-09-13 18:25:54,Baik
Sandi Pratama,5,2024-09-13 18:22:04,mudah2 bisa membantu
Adam Setiwan,4,2024-09-13 13:43:12,"Aplikasinya ok,,, semoga amanah aamiin allah humma aamiin"
Risal Lada,5,2024-09-13 13:03:58,sangat membantu
Depry Ridwansyah,5,2024-09-13 07:23:37,oke
169_Dimas Prasetiyo,5,2024-09-13 05:35:51,sangat bagus dan membantu
Sukma Algifari,1,2024-09-13 04:46:10,"Baru coba saya kasih dulu bintang satu, tapi kalo nanti bener bener terbukti bagus saya kasih bintang5"
Muhammad arfan Arfan,4,2024-09-13 04:44:40,sangat bgus ni app
Agung Pras (Aginta_Grafx),3,2024-09-13 04:14:50,"The apps isn't compatible with my emulator LDPlayer 5, and I have sent resume for vacancy, the chat color text vs BG color combinations are hard to read"
Djamaluddin Syaban,4,2024-09-13 03:59:58,semoga bisa membantu
Asep Yusmansyah,5,2024-09-13 03:51:32,aplikasinya sangat bagus dan baik.terima kasih glints
Kenzie Samuel,5,2024-09-13 03:50:34,Bagus.. memudahkan untuk mencari pekerjaan
Azriel Pahlevi,5,2024-09-13 01:30:45,wahh sangat fantastis
Real Morshallinho,5,2024-09-13 01:12:32,Salah satu bentuk apresiasi saya dalam memberikan tulisan ulasan ini dengan sangat senang hati dan tulus. Karena bagi saya salah satu platform ini sangat berguna sekali bagi para pelamar kerja diluar sana karena sangat mudah penggunaan nya. Saya berterima kasih kepada providers ini dalam pengembangan aplikasi tersebut. Terima Kasih.
X,5,2024-09-12 19:20:12,terbaik
igustiagunggandi gandi,5,2024-09-12 14:40:33,aplk sangat bagus kasik bitang 5
Jaimito Baptista,5,2024-09-12 14:13:37,saya sangat puas dengan pelerjaan
Simon Enga Blegur,3,2024-09-12 13:45:42,bagus
andama rizky maulana,5,2024-09-12 13:11:31,"membantu sekalii, sedang berusaha untuk berkarir semoga di mudahkan!!.. terimakasih GLINTS✨"
Zapusur Zali,5,2024-09-12 12:52:51,Membantu mencari loker
Geo_arud0 _4365,1,2024-09-12 12:23:36,"Waduhhh,,,,inikan lowongan yg paling banyak di jawa sama Bali,,,,mending join grup Facebook aja dari pada di sini"
Ayus Official,5,2024-09-12 08:29:24,bagus
M1c4n0 `,3,2024-09-12 08:18:57,"Tolong Kembalikan Jam yang tertera di lowongan pekerjaan, seperti ""Lowongan ini di posting 1 hari yang lalu"" tolong kembalikan itu, karena saya sangat susah membedakan mana lowongan yang masih baru dan yang sudah lama."
Dery Ahmad,4,2024-09-12 08:13:54,Nice
Jumayas,5,2024-09-12 05:59:53,sangat bagus..
Raka Diningrat,4,2024-09-12 05:08:01,"sangat membantu,dan bermanfaat"
Richard,5,2024-09-12 04:55:16,bismillah dpt kerjaan
Rohibi Al_bantany,5,2024-09-12 04:34:00,Semoga adanya apk ini kita bisa dapat kerja sesuai dengan kriteria kita
Ngurah Hary [C],5,2024-09-12 04:03:10,oke
leo baskoro,5,2024-09-11 19:09:48,Sangat baik semoga lekas bisa diterima lewat aplikasi ini terimakasih Glints sukses selalu...
Muji yanto,5,2024-09-11 15:51:55,"sejauh ini belum dapet kerjaan si, tapi aplikasi ini sangat membantu bagi mereka yang punya gelar dan pendidikan tinggi"
yunardi agri,5,2024-09-11 15:06:10,baik
eko prihtianto,5,2024-09-11 06:51:00,semoga dpt kerjaan
Mochamad Ramdhani,5,2024-09-11 06:37:50,good
Mirzatillah Nazaruddin,5,2024-09-11 05:54:16,Bantu info untuk lamaran kerja
Aldi Sarido,3,2024-09-11 02:49:53,keren
Rizki Saeful Abdul Azzis,5,2024-09-11 02:24:40,"aplikasi nya sangat membantu, orang untuk mencari pekerjaan, mantul lah pokonya"
Soni kuncoro,1,2024-09-10 13:58:15,Apk sampah gak da proses sama sekali
Rizka Putri,4,2024-09-10 13:51:02,bagus
Kevin Otong,5,2024-09-10 12:46:36,baik
Gilang Nurul faiz,5,2024-09-10 11:07:46,"baik ,tapi belum di coba"
Jefri Setiawan,1,2024-09-10 10:54:23,Masih aja ada modus penipuan naikin Rating toko olshop di aplikasi ini
BertinR,1,2024-09-10 09:53:41,Aku udah pake glints tapi ngak sesuai ekspeksi. Dan aku kena tipu org oknum yang mengatakan dari pihak glints. Awalnyaa melakukan interview via chat telegram. Tp ujung2nya ngk msuk kualifikasi dan menawarkan kerjaan menyelesaikan misi. Dan ujungnya mesti transfer
Sena Herlangga,5,2024-09-10 08:49:18,mantapp
Holifah Eden Primadini (olif),1,2024-09-10 07:14:06,kena zonk bgt udh seneng dpt kesempatan wawancara jd admin . knp malah jd ngerjain tugas2 untuk nambah saldo .. awalnya iya ngerjain tugas tanpa tf tp knp kesininya harus tf saldo .. niat cari kerja malah d suruh tf uang.. cape deh.. dimana jd admin nya ?!?!
Novan putra Nusantara,5,2024-09-10 04:10:26,sangat membantu
Mansur Albanteni,4,2024-09-10 03:05:16,"diaplikasi ini mudah melihat lowongan kerja,alamat perusahaan yg dituju dll, hanya sedikit kekurangan nya ketika meng uplowad Cv mengalamu kendala"
